Metric,Value
Total trades,15
Win rate,53.33%
Avg return/trade,0.7101%
Total return,3.8060%
Annual return (GMRR),1.1492%
Annual volatility,1.8443%
Sharpe ratio (rf=3.75%),-1.4102
Sortino ratio,-0.7946
Max drawdown,-1.2932%
Avg holding period,8.9 days
Profit factor,2.13
